# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.278222656250000000e+01 7.806324213743209839e-02 4.839118576049804688e+01 7.806324213743209839e-02 8.274272680282592773e-01
1.000000000000000000e+03 3.674850740935653448e-04 2.639581282437575283e-07 4.862128116656094790e-04 2.639581282437575283e-07 7.137338980101048946e-04
2.000000000000000000e+03 2.076804667012766004e-04 1.645486690904363059e-06 2.648461668286472559e-04 1.645486690904363059e-06 2.434780355542898178e-03
3.000000000000000000e+03 3.159058105666190386e-04 2.808115823427215219e-05 2.725841186475008726e-04 2.808115823427215219e-05 5.543648265302181244e-03
4.000000000000000000e+03 5.216565914452075958e-04 2.868955380108673126e-05 4.456941678654402494e-04 2.868955380108673126e-05 5.803619511425495148e-03
5.000000000000000000e+03 5.275298608466982841e-04 6.913871038705110550e-05 5.173871759325265884e-04 6.913871038705110550e-05 9.351356886327266693e-03
6.000000000000000000e+03 4.332111566327512264e-04 5.436361243482679129e-05 2.954639494419097900e-04 5.436361243482679129e-05 6.087233778089284897e-03
7.000000000000000000e+03 3.536967269610613585e-04 4.595469363266602159e-05 3.187838010489940643e-04 4.595469363266602159e-05 7.216454017907381058e-03
8.000000000000000000e+03 4.073980671819299459e-04 5.481599509948864579e-05 4.660982231143862009e-04 5.481599509948864579e-05 7.850757800042629242e-03
9.000000000000000000e+03 2.525894669815897942e-04 3.107421434833668172e-05 2.674720308277755976e-04 3.107421434833668172e-05 6.289892364293336868e-03
1.000000000000000000e+04 1.298626157222315669e-04 1.197124402096960694e-05 1.852112472988665104e-04 1.197124402096960694e-05 2.879637526348233223e-03
